,Lineage,Diversity,Fluctuations,Final Composition,Community Function,Lyapunov Exponent (cycle 5),Lyapunov Exponent (cycle 12),Cycle,No. Unique Compositions,Ecological Dynamics
31,11,14,1.0,"[ 0.  8. 10. 11. 13. 15. 17. 21. 25. 30. 31. 32. 47. 48.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",141.7157787107689,"[0.6024532267086717, 0.681890102942127]","[0.5601926670657653, 0.6921673969828891]",1,15,chaos
32,12,14,0.9285714285714286,"[ 0.  2.  4.  8. 10. 11. 13. 15. 17. 21. 25. 32. 40. 48.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",210.62700667179791,"[0.06994156535591863, 0.20935266749644152]","[0.09708313578585845, 0.1690641155251715]",1,15,chaos
33,13,16,0.875,"[ 0.  2.  4.  8.  9. 10. 11. 13. 15. 17. 21. 23. 25. 32. 46. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",279.4035873570477,"[0.07809078777134049, 0.2419005404864333]","[0.038086229761405584, 0.2103745866718353]",1,15,chaos
34,14,14,1.0,"[ 0.  2.  8. 10. 11. 13. 15. 17. 21. 25. 31. 32. 40. 48.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",109.6987749206778,"[0.06481273279436146, 0.18844849011299197]","[-0.012011217640221332, 0.1337351058220301]",1,15,chaos
35,15,12,0.8333333333333334,"[ 2.  4.  5.  8. 12. 16. 17. 21. 31. 42. 44. 45.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",608.8779677211198,"[-0.05678064907986741, 0.23292160573090454]","[0.04753459656576487, 0.1999955252627633]",1,15,chaos
36,16,18,1.0,"[ 5.  9. 14. 15. 17. 21. 24. 25. 27. 29. 31. 32. 37. 40. 42. 43. 47. 48.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-241.11887553175407,"[-2.3290180037858805, 0.06069222528079093]","[-2.3311257445923266, 0.059314043425456486]",1,15,chaos
37,17,17,0.5882352941176471,"[ 5.  9. 14. 15. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-154.98580183455002,"[-2.3368576400591636, 0.049093198584285846]","[-2.320263050172657, 0.05458709114833195]",1,15,chaos
38,18,18,1.0,"[ 0.  5.  8.  9. 10. 11. 13. 15. 17. 20. 21. 24. 25. 31. 32. 41. 42. 47.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",502.9497925091054,"[-0.020161073101010906, 0.12796650042255442]","[0.06528975044906594, 0.15199304284596185]",1,15,chaos
39,19,14,1.0,"[ 0.  8. 10. 11. 13. 15. 17. 21. 25. 31. 32. 40. 47. 48.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",185.1519403837602,"[-0.0020626385468391663, 0.20601086361627802]","[0.6722240591594307, 0.7092424694120245]",1,15,chaos
40,0,16,1.0,"[ 0.  1.  8. 10. 11. 13. 15. 17. 21. 25. 31. 32. 38. 43. 47. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",145.21725037862495,"[0.001813277309881125, 0.13559531615390727]","[0.039972616969938424, 0.12201569705410414]",2,15,chaos
